clean_text,sentimen
mungkin ingat allah atas jadi masjid agung sibolga,neutral
makanya warga asli papua sangat tentang program perintah bisnis pribadi tebang hutan kamikarna tidak mau alami sama para saudara dliuar pulau papua seluruh indonesia moga cepat pulih sumatera utara aceh para korban sehat semua yaselalu lindung tuhan,negative
allah lindung saudarasaudari semua,neutral
pray for sumatera,neutral
punya duit yang tebang phon sembarang nikmat duitny yang kena imbas rakyat kecil,negative
akibat dampak mulyono sama boby,neutral
stayy fokuss,negative
hulu hutan di bbat habis semua jadi kena dampak,negative
kemarin musafir tinggal bunuh masjid rumah ibadah rumah allah swt sakral jadi mungkin tegur mereka biar lebih baik dari belum,negative
allahlindungilah saudara,negative
efek gundulim hutan jadi kebun sawitpemerintah tanggung jawab,negative
perintah tonton sumatra landa bencanalain kalau pulau jawa landa bencana bantu cpat mengalirapa sumatra bukan bagi indonesia,negative
salah para oknum oknum babat hutan ganti lahan sawit yang buanh sampah sembarang,negative
allah robbykasihan,negative
ai bukan sih,negative
ini salah jawa,negative
tuhan yesus lindung lah saudara,negative
prabowo kok ke sumatera kita orang sumatera salah apa kok pilih kasih begini,negative
kok banyak kayu glondongan,negative
punya usaha enak enak kamar berac warga tempat rasa bencana,positive
jangan tinggal sholat,negative
perintah utama dulu sedang kena bencana,negative
jadi jangan perintah hancurlan hutan bukan lindung rakyat balik halo perintah lihat bagaimana tanggung jawab masih luas hancur hutan,negative
hutan gundul air terjun bebas halang,negative
ini bukti perintah kuasa beri izin prusahaan akhir dampak buat masyarakat kalau seperti siapa harus brtanggung jawab,neutral
alhmdulilah tmpatku dulu amankrn duduk taat agama satu dusun ada masjid musholaorgnya rukun saling hormat,positive
allah akan turun buah musibah daerah sebut semua orang iman tiap wilayahdaerah kenpa banyak bencana bilang lebih banyak orang maksiat banding orang ibadah diturunkanya tegur musibah nauzubillah moga lalau istikamah jalan allah amin,negative
bantu doa,neutral
banyak tambang situ,negative
tegur allah,negative
guys medan banjir,negative
bobby mana,negative
jawahama,neutral
sending prayers,negative
medan,neutral
akibat hutan gundul resap air hujan dapat tampung deras ajar kita jaga hutan,negative
lebih parah sumutdari aceh,negative
jangan pohon hut besi depan rumah hilang sekarang banjir bandang datang,negative
sabar sodarakuhanya doa bisa ku ikan moga kalian baik dan musibah cpat lalu,positive
innalilahi wainnailaihi rajiun lindung saudara yang di sana allah,negative
hyang widhi wasa lindung dari segala musibah bencana swaha mohon tabah sabar saudara yang kena musibah,positive
di bawa banjir banyak pohon efek gundul hutan,negative
gubernur bagaimana belum tanggap sangkut banjir bandang tanah longsor,neutral
alhamdulillah jawa barat punya gubernur sseperti singa jaga alam upaya prepentif terus jalan alit sungai terus keruk alir tutup bangun bongkar alam jaga,positive
lindung ya allohbajunya basah lumpur dingin,negative
mandailing natal kayak sering sekali kena banjir bandang begini tanah longsor seperti daerah rawan,neutral
besar apa musibah hanya doa moga ada korban jiwa aallhh,negative
kalau jaman jokowi di salah jokowi,negative
hutan jadi tahan tanah tampung air babat habis anggar bencana alam potong kurang fasilitas padahal negara rawan bencana alam negeri puncak komedi,neutral
pemerinta lihat pas suarain rakyat bilang cuma cuaca ekstrem banjir kayu gelondong gara gara hutan tebang,negative
lebih sedih anak pukul mesjid di bandung,negative
bayang situasi ini malam lampu matigk signaladuhhh apa selain mendoakansemoga saudara di sumatra lindung allah swt amin,negative
pulih indonesia ku,negative
presiden,neutral
serius min kabupaten yaoh kabupaten sumatra kecil begitu provinsi,neutral
allahuaqbar,neutral
tim sar mana,neutral
moga mudah segala urus dan moga sentiasa lindung,positive
masyaloh moga lekas baik,positive
good,positive
allah,negative
moga selamat semua rakyat indonesia,positive
presiden kok ada komen,neutral
allah innalillahi,positive
innalilahi wa innailaihi rajiun,positive
tuhan surut air selamat semua segala bencana alam serta hewan hewan ya bapa allah roh kudus tolong,neutral
moga baik baik,positive
karena pohon banyak tebang makanya ada akar tahan tanah makanya jadi longsor,negative
allah robbi lindung dan semua allah,positive
tuhan yesus,negative
aduh tuhan sdra sendiri,negative
innalillahi wainnailaihi rojiun allah selamat lah saudara saudara amin,positive
moga tabah hadap uji selamat bencana,neutral
turut dukacita atas musibah banjir landa moga perintah cepat turun tangan tanggap darurat bencana,neutral
raja jawa,neutral
allah lindung saudara,negative
allah moga ada korban,neutral
prayforsumatera prayforsumbar prayforsumut prayforaceh,neutral
menang banget lihat berita ya allah,positive
prayers for provisions and shelter,neutral
pray for sumatra utara,neutral
innalillahi wainnailaihi rojiun,positive
moga disanah baik dalam lindung allah swt jaga allah swt amin allah mujib mujib mujib,positive
ai mirip banget sama asli,positive
allah limpah lah sabar kuat selamat saudara saudara ku,positive
gubernur mana tuh allah lindung saudara sana,negative
ada palestina peduli,neutral
kasihan banget bagaimana tidur makan dingin moga bencana segera akhir,negative
tegur mutlak salah manusia sendiri hutan habis gundul bukti nyata banyak pohon tumbang akar jadi bekas tebang di benah mulai sekarang gubernur walikota bupati bahkan masyarakat kalau tiap tahun kayak begini terus,negative
moga segera baik saudara sumatera,positive
astaghfirullah allaziim allah swt sedang murka hamba lupa tobat buat baik,negative
bayang dingin gimanakelaparan takut mereka sana moga kalian lindung allah semua,negative
moga segera pulih,neutral
sumatera moga segera pulih pray for sumatera,neutral
yaolo,negative
benar perintah cepat datang cuma akses jalan semua longsor gaes aku jebak hari baru internet kasih pak polisi sama pemda tni,negative
bobby saja,negative
buka wa banjir buka ig banjir buka tiktok banjir gilir buka dompet kering,neutral
allah lindung dari musibahsemoga kalian semua selamat,positive
wah,neutral
allah moga cepat baik lindung semua,positive
innalillah,positive
alam sedang marah lebih banyak istighfarikhlas mawas dirisemoga sehat warga sibolga doa tidak jadi daerah masing,negative
akibat bijak perintah tempat nih,negative
yaallah,negative
tegur allah khusus kena bencana,neutral
innalilah,negative
doa dari malaysia,neutral
mungkin jadi tebang kayu besar besar,negative
moga kuat sabar semua dampak bencana sana banjir kok kayu glondongan banyak banget,negative
manusia tidak salah jadi korban ulah serakah kuasa,negative
perintah pusat segera bantu,neutral
tuhan lindung semua,negative
tuhan lindungii semua,negative
allah moga segera surut,negative
perintah bantu,neutral
moga air cepat surut hujan henti,neutral
jangan tinggal solat kalau tinggal qada balik semua bakal jenazah tak tahu bila masa akan jemput allah sekurangkurangnya bila tiba waktu pergi ada sedang jaga solatinsyaallah tak sesal,negative
good right,neutral
perintah pusat segera turun evakuasi semua saudara yang kena bencana,neutral
allah semuga sodara selamat,neutral
allah lindung merekasedih banget,positive
pray for sumatera moga cepat baik allah,neutral
mana negara indonesia,neutral
tuhan lindung,negative
stay safe friend,negative
pray for indonesia safe,neutral
moga allah lindung kalian samua,positive
sedih,negative
sabar wahai insan sumatera sana semua tentu allah,positive
allahu akbar,negative
allah ikan kuat sabar moga segera bantu,positive
perintah lihat,neutral
engkaulh segala,negative
allah lindung orang sedang banjir moga air cepat surut amin allah,positive
moga beri kuat tabah hadap musibah moga beri gantiaan jauh lebih baik yang hilangmusnah,positive
allah moga saudara beri kuat tabah,positive
moga lekas baik saudara,positive
innalilahi,negative
allah lindung dari segala bencana marabahaya,negative
allah betapa takut moga allah damai selalu hati kalian,negative
ai,negative
moga bayak korban jiwa kak,neutral
boby nasutionapa kerja,negative
banjir luar nalar kaya tsunami keri orang pernah alami bencana banjir ini pray for sumatera moga kalian baikaja selamat rata,positive
moga beri kuat kesehatansaudara ya allah,positive
tuhan lindung,negative
allah tuhan ku lindung saudara yang di sana henti bencana,negative
komentar ig lebih positif aplikasi,positive
kalau mau donasi,neutral
allah kasihan lihat moga cepat ikan tolong sodaraku,negative
allah lindung ilah sabar dan kuat,positive
akibat ulah manusia gunung pohon tebang,negative
allah lindung lah semua saudara imi,negative
kita saling doa,neutral
moga semua selamat,neutral
innalillahi wa innalillahi rajiun,positive
saat negara sedang alami musibah tv nasional masih bahas berita rating ijazah roy suryo berita masyarakat urgensi berita bencana alam,neutral
moga tambah hadap coba inisehat selalu,positive
allah rob kasihan sekali moga cepat tolong,negative
gub sumut bobby nasution,neutral
hasbunalloh waniqmal wakil,neutral
doa moga saudara yang sana tetap lindung tuhan,positive
bagai kiamat mungkin yang rasa yallah lekas baik alam,negative
allah tuhan ku allah ringan kan beban mereka,negative
allah lindung saudara sana,negative
boby mana,negative
kok jaga alam alam jaga kok hutan mama jaga mama alam rumah kita sama semua spesies alam manusia tetap namun manusia alam manusia mati,negative
jawa katai hama doa moga kena bencana lekas baik,neutral
yaallah yarrab lindung saudara ku semua kena musibah,negative
hutan rusak parah mungkin gubernur tau,negative
alam tak murka kalau manusia mau ajak sahabat alam,positive
sedih sekali lihat musibah iniapakah open donasi buka,negative
turut duka cita atas musibah timpa moga kalian keluarga beri kuat sabar hadap coba selalu untuk kalian siap bantu dukung kalian lewat harihari sulit ingat kalian sendiri semua di samping kalian siap dengar keluh kalian bantu ringan beban kalian moga ada segera baik kalian kembali bangkit mula semangat lebih kuat hati lebih tabah kami percaya kalian lewat semua keluar orang lebih kuat lebih baik,positive
semua salah perintah tpl izin tebang pohon sembarang,negative
innalillahi,positive
nyata benar berita,negative
sama sumatra sedih lihat,negative
moga beri selamat semua,positive
pantesan bapak gencar sekali bikin satgas pkh memang bala liar parah sekali sumatra,negative
praying for youll too get help get some place safe god bless youll amin,negative
tuhan lindung saudarakami semua sana beri sehat kuat selamat amin,positive
moga selalu lindung allah swt,positive
paling kasihan banjir begini lihat anak sama orang sudah manula,negative
ada keliru bijak tata kelola wilayah shg akibat bencana begitu sedih moga segera akhir lalu tuhan selamat jiwa warga daerah dampak banjir sebut,negative
bagaiman ada adek ipar ku keluarga sana yuhan,neutral
kapan pak gibran turun sumut pak bobby ajak ngopi,neutral
allah lindung saudara hamba,negative
puluh tahun hutan tebang,negative
allah moga segara pulih indonesia ku,positive
moga abang arra lihat alih bantu manusia warga dapat bencana,neutral
hutan babat habis kini alam amuk,negative
penting jaga ekosistem alam tetap jaga,positive
alam kata,negative
akibat hutan rusak bukit tambang emas ilegal marak di polou sumatra,neutral
tuhan yesus tolong lindung semua sana,negative
lindung semua allah,negative
alam muak buat manusia selalu rusak,negative
moga seht hamu sudenang amang inang tuhan mangaramoti amin,positive
allah rab,negative
aceh minta bantu jawa indonesia nkri,negative
perintah pikir palestina,negative
kalau tuhan marahsiapa bisa cegah,negative
moga cpat surut,neutral
yaallah lindung lah amin,positive
tanggulang bencana moga cepat beri solusi baik,positive
what was that green thing the door was standing there tahan moved away from the door strange spirit,positive
innalillahi wainnailaihi rojiun turut dukacita allah,positive
perintah sibuk palestina,negative
iya tegur allahingat ingat lah apa mengapa,negative
allah lindung lah saudara semua,negative
jaga selamat buat semua,neutral
buka wa banjir buka ig banjir buka fb banjir buka tiktok banjir buka dompet kering,neutral
gubernur buka suara atas musibah,neutral
berapa ton beras berapa sama duit akan kirim sibolga berapa unit rumah akan bangun perintah eh lupa sibolaga kan bukan palestina,negative
video sumut lewat aku pernah skip harap salah satu video orang aku lihat bapak,neutral
sini harus sadar kalau harta bawa mati amal buat yang jadi bekal akherat,negative
allah kasihan lindung bencana mara bahaya,negative
innalillahi wa inna ilaihi rojiun,positive
flora fauna bagaimana gajah harimau,neutral
dampak kalau tanah jual di tambang,negative
moga musibah cepat lalu allah,negative
moga bencana cepat usai lalu salam sumatera barat moga semua selalu lindung allah swt,neutral
konsekuensi tebang liar bukan laku yang kena semua orang,negative
hewan hewan hut bagaimana,neutral
hancur alam hancur negeri,negative
ingat novel tereliye,neutral
moga warga sumatera utara semua baik amin,positive
mana datang baru besar,negative
lihat turun kayu gelondong jadi jangan pernah salah alam moga semua beri selamat,positive
astagfirullah alam mulai murka,negative
gubernur tanggung jawab penuh tebang hutan besar besar,negative
tidak pokok,negative
innalilahi wa innailaihi rojiun,positive
moga ada korban jiwa,neutral
padang sidempuan,neutral
moga cepat normal ada allah amin,positive
sumbar hujan hari sekarang hujan tiada henti,negative
moga semuaa baik ajaaaaa,positive
kalau perintah punya hati sumbang natal negeri luar batalin mending di kasih daerah sumatra,neutral
astafiraullah,neutral
ai bang,negative
wahai perintah mana bantu,negative
semua tambang emas tambang pohon lahan lahan sawit hujan bisa serap banyak pohon bagai spesies,negative
akhir tahun banyak bencana,neutral
sudah bencana skala nasional moga lekas pulih,neutral
allah lindung saudara semua ada disna moga tiada korban jiwa amin rabbal alamin,positive
bencana nasional nih,negative
merinding aku tau arti yang hilang anak arti cari dulu anak perempuan ku,negative
kota padangsidimpuan bukan kabupaten,neutral
yaallah gusti,negative
biasa kalau bencanatni ikit turun bantuapa ada perintah perintah tempat,neutral
perintah pusat tutup mata gilir bangsa timur tengah sana respon kalah flashhh,negative
kayak begini perintah,negative
moga saudara yang alami bencana sana moga tuhan jaga raka semuaagar tetap selamat tetap aman tetap jaga selalu lindung tuhan selalu ikan sehat amain,positive
gubernur mantu jokowi saja lo,negative
allah ampun dan selamat kan sanak saudara ku sana,negative
moga cepat pulih,neutral
sd sudah ajar kalau gundul hutan sebab banjir tanah longsor,negative
damkar kamu sembunyi,negative
apa bukan bencana nasional,neutral
sri lanka also suffering from the same situation,neutral
perintah lambat tentu darurat nasional hati nurani,negative
moga segera akhir jadi lebih baikserta beri mudah depan,positive
allah lindung saudara moga jauh marabahaya,negative
hulu sudah gundul hutan,negative
rusa alam garau manusia sendiri,negative
banyak sekali gelondong kayu hanyut,negative
gunernure sopo,negative
kemarin usul nanem tanam larang sekarang mana wakil rakyat sekarang warga kena landa banjir nih,negative
hyang widhi wasa engkau sang cipta seluruh alam semesta mohon lindung serta swluaruh alam semesta selalu hindar segala bencana swaha,positive
turut dukacita,neutral
astaghfirullah subhanallah sehat selalu kaliansemoga beri selamat,positive
sedih banget lihat moga selalu lindung allah,negative
allah lindung saudara saudara ku kena musibah amin,negative
surah albaqarah ayat arab latin allaziina izaaa asaabathum musiibatun qooluuu innaa lillaahi wa innaaa ilaihi raajiuun arti orangorang apabila timpa musibah kata inna lillahi wa inna ilaihi rajiun sungguh milik allah kepada kembali,positive
moga beri sabar hadap bencana alam,neutral
allah mohon lindung selamat sodara sana,negative
kok ada kirim basarnas atau tni,neutral
indonesia krisis lindung alam,neutral
astaghfirullah lindung ya allah,negative
wujud marah tuhan kuasa,negative
allah sehat buat warga sana,positive
allahsmga cepat brllu bdai uji,negative
allah lindung hamba di uji musibah,negative
selamat saudara ya allah,neutral
inna lillahi wa inna ilaihi rajiunsmga beri sabar mereka kena musibah,positive
lihat perintah allah kasihan ya tak usah teriak teriak banyak doa zikir,negative
tuhan moga semua yang kena banjir selamat allah kira perintah daerah tempat tanggap darurat,neutral
moga cepat surut banjir bandang moga perintah cepat antisipasi bantu evakuasi,neutral
sangat prihatin bencana banjir timpa saudarasaudara moga beri kuat selamat tabah hadap uji ya allah turun tolong mudah segala urus amin,positive
banjir banyak sekali bawa kayu kayu glundungan allah moga cepat bantu banjir reda amin,positive
moga semua dampak banjirdiberi kuat sabar luas samudra,positive
allah banjir hujan longsor beliung astagfirullohalazim,negative
dulu pas tsunami aceh sekarang banjir sumatra luas banyak kabupaten,neutral
sama sama manusia saling doa allah adtagpirlloh al adim moga selamat allah kalau belum alami banjir diam diam,positive
parah banjir nya,negative
aceh hmm,negative
gubernur tampak turunin bantu,neutral
tuhanlindungilah saudara yang kena bencana,negative
subhanallah moga bencana akhir selamat semua,positive
alllah tolong,negative
apa buat,neutral
banyak tambang ilegal kebon wasit penebnagan hutan lihat konsekuensi akan jadi depan inti pelihara alam alam akan pelihara anda,negative
